date,AAPL,MSFT,NVDA,AVGO,GOOGL,AMZN,META,JPM,V,MA,JNJ,UNH,XOM,CVX,PG,KO,COST,CAT,WMT,HD
2020-03-31,1.66105558745409e-11,1.9173248355725973e-11,4.418365437567173e-12,7.171736153419257e-12,0.0999999999958521,0.10000000000117122,0.0999999999944488,-3.06463107102964e-13,0.09999999993025206,7.787117940957338e-13,0.10000000000118794,2.2906967355891208e-12,1.3492205075794367e-11,3.968394131423591e-13,0.09999999999533128,0.10000000000096258,0.10000000000181927,0.09999999998483387,0.10000000000192023,2.8194791119591978e-11
2020-04-30,2.392507809340339e-08,9.432671556197046e-09,1.6860487464097615e-09,2.3817409707732047e-09,0.09999999917085624,0.09999999927538945,0.09999999909017661,8.783437762213855e-10,8.168524213623573e-09,1.6986587493641922e-09,0.09999999969928365,9.943329114463626e-09,0.09999991948724973,7.762559020622583e-10,0.09999999927016828,0.09999999931067824,0.09999999975736068,0.09999999776324955,0.09999999959226996,2.869263781071374e-08
2020-05-29,0.07560948179063745,2.616703849426918e-11,8.848795585148468e-12,1.6750707962424883e-11,0.09999999999492144,0.099999999990509,0.09999999998826892,5.1533170185712605e-12,3.953006926722566e-11,1.2932221458636446e-11,0.1000000000004172,4.535392813006646e-10,0.055906954330543546,5.251163339497502e-12,0.09999999998918367,0.09999999999003722,0.09999999999751594,0.06848356332920436,0.09999999999529062,3.529883408515499e-11
2020-06-30,0.099999999774093,0.09999863909294675,0.010125816029961352,0.05427793591108818,6.844550296727002e-10,0.09999999971044826,0.09999999966018615,0.018847558777771167,4.688671938757687e-10,1.949299902359315e-10,0.09999999945280823,0.0167500504768886,3.983639362047167e-10,3.8054040206269127e-10,0.09999999962239815,4.834378283326073e-10,0.0999999990237694,3.3951009178564206e-10,0.0999999997043517,0.0999999998131847
2020-07-31,0.09999999831985196,9.642340339837702e-09,0.09999999450857198,0.09999502613399885,3.689817947742989e-08,0.09999999847760926,0.019620565887796027,4.9792801616008005e-09,7.619334851977859e-09,5.6368879308271356e-09,0.09999995998783902,1.150227259295765e-08,2.052768974220782e-09,1.9857157088642754e-09,0.09999999447770146,0.0007896546762874847,0.09999999907691426,0.0795947374060994,0.099999997447252,0.09999999328329824
2020-08-31,0.09999999981051601,0.03291891468364925,0.09999999956052259,3.128674849908819e-09,1.3348793522474694e-07,0.09999999980040236,0.033858446515591445,3.475711845091154e-10,1.6684666479815243e-08,0.07125326150715604,0.09999999934231867,1.10894342823472e-09,3.9259520856606564e-10,3.017659501377822e-10,0.09999999946464835,0.03681291032285041,0.09999999983567512,0.02515631470229633,0.0999999996912068,0.0999999993110144
2020-09-30,0.0483078646252083,9.797066107795373e-11,0.00868307017204007,0.057377021417211356,1.4714181901239266e-10,1.657429340238963e-10,0.030517095946375666,0.0661349681939376,1.8322360014385066e-10,0.03549429398582018,0.09999999956811174,0.05348568900223797,7.74424515937109e-11,1.2458194806377605e-10,0.09999999963116413,0.0999999985581351,0.0999999998366537,0.09999999964702848,0.09999999941025911,0.09999999920972386
2020-10-30,7.92404720718228e-11,1.0158587185482231e-10,1.0020330401227109e-10,0.06689793823656831,0.04275462029592296,1.3397141949252694e-10,1.5197888281679597e-09,0.09999999915619669,4.7097778088869436e-11,1.0451102166575599e-10,0.0999999903314526,0.09034745255831475,5.21151157560993e-11,7.942187963503542e-11,0.09999999965122328,0.09999999958490882,0.099999999783918,0.09999999979774984,0.09999999990504164,0.09999999848080048
2020-11-30,3.5460466997130393e-10,5.140735072054763e-10,6.27920016490529e-10,0.09999999957782164,6.689597054843698e-07,4.31665405220378e-10,4.584688104090125e-10,0.09999997741487601,3.919946117369969e-10,2.332419037689433e-10,0.09999944903664423,0.09999995707297116,3.118701397159951e-10,3.613638682830301e-10,0.09999999970385366,0.09999995856451561,0.09999999870386148,0.09999999858962408,0.09999999962181864,0.099999989069105
2020-12-31,0.0978139825755827,9.65081672572955e-09,2.557195402701618e-09,0.09999999421610833,0.09999998355300568,3.663873929347538e-08,3.054272411726821e-09,0.09999998489666193,4.051312718119214e-09,3.448607220117676e-09,0.09999995312868562,0.05505045766450826,0.012493110605696738,7.024437441322578e-09,0.034642746374624035,0.09999989087263259,0.09999999317284278,0.09999984046952856,0.09999998118810033,1.485664129471212e-08
